Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000591,0.002710,0.023473,0.000041,0.000281,0.000364,0.972540,0.136490,0.390122,0.159903,0.033671,0.159574,0.120239,0.011473,0.914655,0.073873,7.166321e-02,5.136352e-03,166_a_a.wav
0.000159,0.001980,0.019384,0.000013,0.000094,0.000232,0.978138,0.107340,0.330981,0.221133,0.032906,0.111912,0.195729,0.010522,0.932613,0.056865,3.355572e-02,9.585477e-03,166_b_a.wav
0.000364,0.002277,0.014677,0.000065,0.000204,0.000281,0.982131,0.055116,0.338831,0.108069,0.036183,0.077701,0.384100,0.019798,0.931203,0.048999,-1.322323e-01,-6.535402e-02,167_a_q.wav
0.011347,0.054028,0.068967,0.015384,0.012806,0.006519,0.830949,0.164106,0.165633,0.183556,0.029383,0.033406,0.423917,0.009110,0.428413,0.562477,2.792755e-02,-2.054180e-02,168_a_q.wav
0.000340,0.003448,0.005397,0.000266,0.000515,0.000371,0.989662,0.047083,0.352787,0.118684,0.029281,0.055032,0.397132,0.021893,0.908447,0.069660,-6.811300e-02,9.930758e-02,169_a_a.wav
0.004288,0.024852,0.097327,0.001150,0.003273,0.003502,0.865608,0.149773,0.418202,0.126592,0.025972,0.056579,0.222882,0.003885,0.931671,0.064445,2.864395e-02,5.293509e-02,169_b_a.wav
0.000516,0.002317,0.012670,0.000221,0.000609,0.000316,0.983351,0.104323,0.438373,0.114351,0.028717,0.058550,0.255686,0.009443,0.950187,0.040371,2.049443e-02,1.736629e-01,169_c_a.wav
0.000610,0.003922,0.140617,0.000054,0.000391,0.000297,0.854108,0.104965,0.474722,0.165370,0.031971,0.069624,0.153347,0.018174,0.698323,0.283504,3.125019e-02,3.845933e-02,16_a_q.wav
0.001082,0.003233,0.069049,0.000083,0.000546,0.000353,0.925653,0.125561,0.441852,0.144868,0.032701,0.130040,0.124978,0.013384,0.960463,0.026153,2.189359e-02,-1.326941e-02,16_b_q.wav
0.000091,0.000028,0.007721,0.000004,0.000038,0.000003,0.992115,0.122493,0.423424,0.129110,0.054297,0.109475,0.161200,0.012095,0.764763,0.223142,4.424754e-02,2.121716e-01,170_a_q.wav
0.031215,0.108322,0.183485,0.016014,0.020751,0.030326,0.609887,0.180257,0.418227,0.133858,0.028125,0.055158,0.184376,0.006603,0.722561,0.270836,4.946510e-02,-1.944181e-01,171_a_q.wav
0.000095,0.000008,0.036303,0.000006,0.000045,0.000002,0.963541,0.128028,0.376496,0.175472,0.046797,0.178124,0.095083,0.019842,0.954688,0.025470,-6.266058e-03,6.617908e-02,172_a_q.wav
0.001402,0.000148,0.348119,0.000056,0.000785,0.000026,0.649463,0.111296,0.410250,0.278165,0.021273,0.133214,0.045802,0.004315,0.990648,0.005038,4.596658e-02,-2.949420e-02,173_a_a.wav
0.000944,0.000060,0.497042,0.000022,0.000315,0.000009,0.501607,0.097295,0.273357,0.431736,0.017542,0.140415,0.039654,0.002659,0.983429,0.013912,5.940497e-02,2.857991e-02,173_b_a.wav
0.000414,0.000653,0.042035,0.000033,0.000291,0.000112,0.956462,0.065137,0.349143,0.355018,0.020663,0.080801,0.129239,0.013341,0.939160,0.047499,1.199441e-02,-1.795351e-03,174_a_q.wav
0.025182,0.231248,0.197988,0.012880,0.022297,0.050836,0.459569,0.145807,0.503068,0.174716,0.019619,0.066688,0.090103,0.003376,0.950246,0.046378,2.217846e-02,2.087369e-02,175_a_a.wav
0.000285,0.000135,0.031683,0.000009,0.000131,0.000025,0.967730,0.106276,0.452288,0.120268,0.037411,0.140492,0.143264,0.004637,0.990384,0.004979,-8.130153e-03,1.778733e-01,175_b_a.wav
0.002548,0.015954,0.105371,0.000378,0.001619,0.002295,0.871835,0.176579,0.419105,0.141476,0.028344,0.148114,0.086383,0.008563,0.934169,0.057268,6.806921e-02,-9.380623e-02,176_a_q.wav
0.000189,0.000046,0.063046,0.000009,0.000113,0.000013,0.936584,0.150660,0.508359,0.126441,0.029666,0.095316,0.089559,0.017719,0.964582,0.017699,1.132557e-01,6.555682e-02,177_a_q.wav
0.001527,0.002141,0.123937,0.000159,0.000877,0.000270,0.871090,0.127153,0.464148,0.176078,0.024888,0.072464,0.135268,0.011795,0.961689,0.026516,1.010878e-02,-3.140924e-02,178_a_a.wav
